picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 9600
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
767236,47.56,STAYOFF
769235,47.56,STAYOFF
771235,47.56,STAYOFF
773235,47.56,STAYOFF
775236,47.56,STAYOFF
777236,47.50,STAYOFF
779236,47.50,STAYOFF
781236,47.50,STAYOFF
783237,47.50,STAYOFF
785235,47.50,STAYOFF
787235,47.50,STAYOFF
789235,47.44,STAYOFF
791235,47.44,STAYOFF
793236,47.44,STAYOFF
795236,47.44,STAYOFF
797236,47.44,STAYOFF
799236,47.44,STAYOFF
801235,47.44,STAYOFF
803236,47.44,STAYOFF
805236,47.44,STAYOFF
807236,47.38,STAYOFF
809236,47.38,STAYOFF
811237,47.38,STAYOFF
813237,47.38,STAYOFF
815237,47.38,STAYOFF
817236,47.38,STAYOFF
819236,47.38,STAYOFF
821237,47.38,STAYOFF
823236,47.31,STAYOFF
825236,47.31,STAYOFF
827236,47.31,STAYOFF
829236,47.31,STAYOFF
831237,47.31,STAYOFF
833235,47.31,STAYOFF
835235,47.31,STAYOFF
837235,47.31,STAYOFF
839235,47.31,STAYOFF
841236,47.25,STAYOFF
843236,47.25,STAYOFF
845236,47.25,STAYOFF
847236,47.25,STAYOFF
849235,47.25,STAYOFF
851235,47.25,STAYOFF
853236,47.25,STAYOFF
855236,47.25,STAYOFF
857236,47.25,STAYOFF
859236,47.19,STAYOFF
861236,47.19,STAYOFF
863236,47.19,STAYOFF
865236,47.19,STAYOFF
867236,47.19,STAYOFF
869236,47.19,STAYOFF
871236,47.19,STAYOFF
873236,47.19,STAYOFF
875236,47.19,STAYOFF
877236,47.13,STAYOFF
879237,47.13,STAYOFF
881236,47.13,STAYOFF
883236,47.13,STAYOFF
885236,47.13,STAYOFF
887236,47.13,STAYOFF
889236,47.13,STAYOFF
891236,47.13,STAYOFF
893237,47.13,STAYOFF
895237,47.13,STAYOFF
897236,47.06,STAYOFF
899236,47.06,STAYOFF
901236,47.06,STAYOFF
903236,47.06,STAYOFF
905236,47.06,STAYOFF
907237,47.06,STAYOFF
909237,47.06,STAYOFF
911237,47.06,STAYOFF
913236,47.00,STAYOFF
915236,47.00,STAYOFF
917236,47.00,STAYOFF
919236,47.00,STAYOFF
921237,47.00,STAYOFF
923237,47.00,STAYOFF
925237,47.00,STAYOFF
927237,47.00,STAYOFF
929236,47.00,STAYOFF
931236,46.94,STAYOFF
933236,47.00,STAYOFF
935237,46.94,STAYOFF
937238,46.94,STAYOFF
939238,46.94,STAYOFF
941238,46.94,STAYOFF
943238,46.94,STAYOFF
945238,46.94,STAYOFF
947237,46.94,STAYOFF
949237,46.94,STAYOFF
951238,46.94,STAYOFF
953237,46.94,STAYOFF
955237,46.94,STAYOFF
957237,46.88,STAYOFF
959237,46.88,STAYOFF
961236,46.88,STAYOFF
963237,46.88,STAYOFF
965238,46.88,STAYOFF
967238,46.88,STAYOFF
969237,46.88,STAYOFF
971237,46.88,STAYOFF
973237,46.88,STAYOFF
975237,46.88,STAYOFF
977238,46.81,STAYOFF
979238,46.81,STAYOFF
981238,46.81,STAYOFF
983238,46.81,STAYOFF
985237,46.81,STAYOFF
987237,46.81,STAYOFF
989237,46.81,STAYOFF
991238,46.81,STAYOFF
993239,46.75,STAYOFF
995238,46.75,STAYOFF
997238,46.75,STAYOFF
999238,46.75,STAYOFF
1001237,46.75,STAYOFF
1003237,46.75,STAYOFF
1005238,46.75,STAYOFF
1007238,46.75,STAYOFF
1009238,46.75,STAYOFF
1011237,46.75,STAYOFF
