NOTE: Press Ctrl+A Ctrl+X to exit.
picocom -b 86400 /dev/ttyACM3
picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 86400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
543242,59.94,STAYOFF
545241,59.94,STAYOFF
547241,59.94,STAYOFF
549242,59.88,STAYOFF
551242,59.88,STAYOFF
553242,59.88,STAYOFF
555242,59.88,STAYOFF
557242,59.88,STAYOFF
559242,59.88,STAYOFF
561243,59.88,STAYOFF
563244,59.88,STAYOFF
565243,59.88,STAYOFF
567243,59.81,STAYOFF
569243,59.81,STAYOFF
571243,59.81,STAYOFF
573244,59.81,STAYOFF
575245,59.81,STAYOFF
577245,59.81,STAYOFF
579245,59.81,STAYOFF
581243,59.75,STAYOFF
583244,59.75,STAYOFF
585245,59.75,STAYOFF
587244,59.75,STAYOFF
589244,59.75,STAYOFF
591243,59.75,STAYOFF
593244,59.75,STAYOFF
595245,59.75,STAYOFF
597244,59.75,STAYOFF
599244,59.69,STAYOFF
601243,59.69,STAYOFF
603243,59.69,STAYOFF
605244,59.69,STAYOFF
607244,59.69,STAYOFF
609244,59.69,STAYOFF
611244,59.69,STAYOFF
613244,59.69,STAYOFF
615244,59.63,STAYOFF
617244,59.63,STAYOFF
619242,59.63,STAYOFF
621243,59.63,STAYOFF
623244,59.63,STAYOFF
625244,59.63,STAYOFF
627244,59.63,STAYOFF
629242,59.56,STAYOFF
631243,59.56,STAYOFF
633244,59.56,STAYOFF
635243,59.56,STAYOFF
637243,59.56,STAYOFF
639243,59.56,STAYOFF
641244,59.56,STAYOFF
643244,59.56,STAYOFF
645243,59.56,STAYOFF
647242,59.50,STAYOFF
